('know', 0.6790270209312439)
('do', 0.6385245323181152)
('think', 0.5967345237731934)
('tell', 0.5655002593994141)
('anyway', 0.5582130551338196)
('want', 0.5506057739257812)
('understand', 0.5397497415542603)
('knew', 0.5381410121917725)
('something', 0.5300144553184509)
('guess', 0.5284271240234375)

('insurance', 0.8572348356246948)
('premiums', 0.6558537483215332)
('Insurance', 0.6239511370658875)
('insurers', 0.6174479722976685)
('insurer', 0.5741640329360962)
('uninsured', 0.5598299503326416)
('mortgage', 0.4729856550693512)
('health_care', 0.44276943802833557)
('liability', 0.4336494207382202)
('Medicaid', 0.4279743432998657)

('underneath', 0.4564470648765564)
('plastic', 0.41742318868637085)
('sand', 0.4137228727340698)
('clean', 0.40962886810302734)
('blue', 0.40809398889541626)
('beneath', 0.40777552127838135)
('covered', 0.4074186682701111)
('cover', 0.3951292037963867)
('teeth', 0.39395421743392944)
('brown', 0.3898841440677643)
